Location|Enabled|ScrapingTimes
Cheb|TRUE|-
Karlovy Vary|FALSE|-
Přimda|FALSE|-
Kopisty|FALSE|-
Tušimice|FALSE|-
Plzeň-Mikulka|FALSE|-
Churáňov|FALSE|-
Milešovka|FALSE|-
Kocelovice|FALSE|-
Ústí nad Labem|FALSE|-
Doksany|FALSE|-
Praha-Ruzyně|FALSE|-
Praha-Karlov|FALSE|-
Praha-Libuš|FALSE|-
Temelín|FALSE|-
České Budějovice|FALSE|-
Praha-Kbely|FALSE|-
Liberec|FALSE|-
Jičín|FALSE|-
Čáslav|FALSE|-
Košetice|FALSE|-
Kostelní Myslová|FALSE|-
Pec pod Sněžkou|FALSE|-
Pardubice|FALSE|-
Přibyslav|FALSE|-
Polom|FALSE|-
Ústí nad Orlicí|FALSE|-
Svratouch|FALSE|-
Náměšť nad Oslavou|FALSE|-
Dukovany|FALSE|-
Kuchařovice|FALSE|-
Luká|FALSE|-
Brno-Tuřany|FALSE|-
Šerák|FALSE|-
Prostějov|FALSE|-
Červená u Libavé|FALSE|-
Holešov|FALSE|-
Ostrava-Mošnov|FALSE|-
Lysá hora|FALSE|-
Maruška|FALSE|-
