Location|Enabled|ScrapingTimes
Cheb|TRUE|-
Karlovy Vary|TRUE|-
Přimda|TRUE|-
Kopisty|TRUE|-
Tušimice|TRUE|-
Plzeň-Mikulka|TRUE|-
Churáňov|TRUE|-
Milešovka|TRUE|-
Kocelovice|TRUE|-
Ústí nad Labem|TRUE|-
Doksany|TRUE|-
Praha-Ruzyně|TRUE|-
Praha-Karlov|TRUE|-
Praha-Libuš|TRUE|-
Temelín|TRUE|-
České Budějovice|TRUE|-
Praha-Kbely|TRUE|-
Liberec|TRUE|-
Jičín|TRUE|-
Čáslav|TRUE|-
Košetice|TRUE|-
Kostelní Myslová|TRUE|-
Pec pod Sněžkou|TRUE|-
Pardubice|TRUE|-
Přibyslav|TRUE|-
Polom|TRUE|-
Ústí nad Orlicí|TRUE|-
Svratouch|TRUE|-
Náměšť nad Oslavou|TRUE|-
Dukovany|TRUE|-
Kuchařovice|TRUE|-
Luká|TRUE|-
Brno-Tuřany|TRUE|-
Šerák|TRUE|-
Prostějov|TRUE|-
Červená u Libavé|TRUE|-
Holešov|TRUE|-
Ostrava-Mošnov|TRUE|-
Lysá hora|TRUE|-
Maruška|TRUE|-
